project_id,requirement,label,source,response,zero_shot,few_shot_cot,zero_shot_cot,raw_inst,predicted_label
1,'The system shall refresh the display every 60 seconds.',NFR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'NFR', 'raw_inst': 'NFR'}",NFR,FR,NFR,NFR,NFR
1,'The application shall match the color of the schema set forth by Department of Homeland Security',NFR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'NFR', 'zero_shot_cot': 'NFR', 'raw_inst': 'NFR'}",NFR,NFR,NFR,NFR,NFR
1,'If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30',NFR,promise_exp,"{'zero_shot': 'FR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'FR', 'raw_inst': 'NFR'}",FR,FR,FR,NFR,FR
1,'The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.',NFR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'NFR', 'zero_shot_cot': 'NFR', 'raw_inst': 'NFR'}",NFR,NFR,NFR,NFR,NFR
1,'If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',NFR,promise_exp,"{'zero_shot': 'FR', 'few_shot_cot': 'NFR', 'zero_shot_cot': 'NFR', 'raw_inst': 'NFR'}",FR,NFR,NFR,NFR,FR
1,'The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts',NFR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'NFR', 'raw_inst': 'NFR'}",NFR,FR,NFR,NFR,NFR
1,'The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',NFR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'NFR', 'zero_shot_cot': 'NFR', 'raw_inst': 'NFR'}",NFR,NFR,NFR,NFR,NFR
1,'The product shall respond fast to keep up-to-date data in the display.',NFR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'NFR', 'zero_shot_cot': 'NFR', 'raw_inst': 'NFR'}",NFR,NFR,NFR,NFR,NFR
1,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',FR,promise_exp,"{'zero_shot': 'FR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'NFR', 'raw_inst': 'FR'}",FR,FR,NFR,FR,FR
1,'The system shall display Events in a vertical table by time.',FR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'NFR', 'raw_inst': 'FR'}",NFR,FR,NFR,FR,NFR
1,'The system shall display the Events in a graph by time.',FR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'NFR', 'raw_inst': 'FR'}",NFR,FR,NFR,FR,NFR
1,'The system shall display Events or Activities.',FR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'FR', 'raw_inst': 'FR'}",NFR,FR,FR,FR,NFR
1,'The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table',FR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'NFR', 'raw_inst': 'FR'}",NFR,FR,NFR,FR,NFR
1,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',FR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'NFR', 'raw_inst': 'FR'}",NFR,FR,NFR,FR,NFR
1,'The table side of the display shall be split into 2 regions: sequential and temporal.',FR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'NFR', 'raw_inst': 'FR'}",NFR,FR,NFR,FR,NFR
1,'The top 1/4 of the table will hold events that are to occur sequentially.',FR,promise_exp,"{'zero_shot': 'NFR', 'few_shot_cot': 'FR', 'zero_shot_cot': 'NFR', 'raw_inst': 'FR'}",NFR,FR,NFR,FR,NFR
